Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
Смоленская область,2020,284.039087947883,28256,5.6,10.340973687223,254.0,7.3288,72.81,56.4,15.5,15.5,15.1,17.2,20.6
Ставропольский край,2020,240.494092373792,24187,7.2,13.5847884693224,266.8,2.9305,75.47,57.2,11.2,11.5,11.3,13.1,15.1
Тамбовская область,2020,306.934673366834,27892,4.6,12.9736826921033,356.5,4.3255,74.62,54.6,15.1,15.6,15.0,17.8,20.9
Тверская область,2020,292.134831460674,27692,4.8,8.89566768603466,401.2,7.8743,72.3,54.3,16.9,16.8,16.3,18.5,21.5
Томская область,2020,226.915887850467,28871,8.9,10.0308528712198,304.3,6.2342,73.96,58.4,11.4,11.1,11.3,13.3,15.5
Тульская область,2020,302.967563837129,29396,4.2,17.2477898627817,381.5,5.8099,73.31,55.1,16.5,16.2,15.9,18.7,21.3
Тюменская область,2020,174.113287453679,50440,3.7,19.5449904317242,344.0,6.1173,74.94,59.8,7.9,7.9,7.7,9.3,10.4
Удмуртская Республика,2020,247.590361445783,25460,6.0,7.43035937305812,302.1,9.7347,73.75,54.9,12.0,12.0,11.9,14.1,15.6
Ульяновская область,2020,289.162561576355,24596,4.9,15.7898411277691,314.0,5.1767,73.75,54.7,14.0,14.2,13.8,16.9,19.6
Хабаровский край,2020,225.903151421983,41751,4.6,8.88911584544027,291.2,9.8028,70.94,58.4,13.0,12.8,13.3,15.6,16.8
Челябинская область,2020,254.138832413593,26647,7.5,7.85238692691431,339.5,5.7748,73.01,55.2,13.0,13.2,13.1,16.0,17.7
Чеченская Республика,2020,101.602136181575,24625,21.0,24.0121765884462,178.8,0.1872,76.62,56.3,4.6,4.4,4.3,6.3,5.8
Чувашская Республика,2020,250.662251655629,21164,6.1,15.4219128967626,235.6,6.2472,74.25,55.9,12.6,12.6,12.4,15.5,17.0
Чукотский автономный округ,2020,148.979591836735,89548,3.2,10.4145565749235,111.2,8.7681,67.65,63.1,9.4,11.0,9.1,10.5,10.8
Ярославская область,2020,281.869460112812,29527,7.3,13.3052104824196,296.1,8.1049,73.66,54.7,15.2,14.9,14.7,17.3,20.3
Алтайский край,2021,274.514991181658,26010,4.8,8.68951008341252,342.2,5.3643,73.01,54.0,14.2,14.0,16.5,19.1,15.0
Амурская область,2021,227.943078913325,39626,4.6,2.39276137332404,306.2,8.171,70.39,57.3,13.4,14.0,16.2,18.5,14.7
Архангельская область,2021,268.491921005386,39739,6.4,10.6253152644457,307.9,8.6218,73.85,54.9,13.1,13.0,14.7,17.7,14.1
Астраханская область,2021,245.096056622851,26833,7.3,11.8774032914313,291.5,4.7119,75.3,55.1,11.6,11.3,13.6,16.4,12.3
Белгородская область,2021,276.631853785901,35612,3.6,16.577572611252,333.1,5.0726,75.25,55.6,13.5,13.3,15.6,18.2,14.3
Брянская область,2021,281.522668947819,31608,3.2,13.7009887548349,211.7,5.8967,73.85,55.2,15.2,14.7,17.0,20.3,15.6
Владимирская область,2021,294.486404833837,28489,3.2,13.5987580725286,314.4,8.039,73.31,54.4,16.0,15.6,18.3,21.5,17.1
Волгоградская область,2021,274.816326530612,27677,4.3,10.3888888888889,432.4,4.5714,75.22,55.7,13.3,13.1,15.9,18.9,14.1
Вологодская область,2021,267.251975417032,31851,3.9,10.2629676434194,355.4,9.0983,73.45,54.2,14.4,14.1,15.7,18.4,14.5
Воронежская область,2021,288.543944031482,35100,3.9,12.8907960787406,363.9,5.3411,75.15,55.4,14.7,14.1,16.5,20.3,15.5
г.Москва,2021,274.293628808864,88831,2.3,14.3616117716078,297.4,5.7866,79.18,57.0,9.7,9.5,11.9,13.6,10.1
г.Санкт-Петербург,2021,267.199702491633,57745,1.5,14.050228510964,307.3,6.8757,77.38,57.0,11.1,11.0,13.6,15.6,12.1
г.Севастополь,2021,244.252873563218,33013,4.2,13.674688057041,274.9,6.9753,74.79,57.2,12.8,13.0,13.2,14.7,11.9
Еврейская автономная область,2021,228.571428571429,30297,5.8,4.54045551051921,270.6,9.1973,70.03,56.7,13.7,14.2,15.9,18.0,14.8
Забайкальский край,2021,204.122722914669,29827,9.1,5.09162565829233,299.5,5.3428,70.83,57.1,12.3,12.4,13.7,15.8,13.2
Ивановская область,2021,288.126919140225,28680,3.6,13.4831629363544,320.1,6.9756,73.25,55.0,16.1,15.8,17.7,20.5,16.4
Иркутская область,2021,226.007636826474,30346,5.1,9.1321658692185,267.7,7.1596,71.1,55.6,13.1,13.2,15.0,17.7,14.2
Кабардино-Балкарская Республика,2021,206.429391504018,25929,9.6,17.009858074415,287.4,0.8858,77.48,57.7,8.2,8.3,10.1,10.8,9.2
Калининградская область,2021,248.735408560311,32010,4.5,12.684470812145,376.1,7.4788,74.91,57.1,12.2,11.8,13.2,15.6,12.8
Калужская область,2021,275.123395853899,35028,3.6,9.76100566100566,317.7,7.4421,73.86,55.2,14.9,14.6,17.3,19.3,15.2
Камчатский край,2021,202.875399361022,60794,3.4,6.76695804195804,528.1,9.4413,72.26,60.7,11.3,11.0,12.7,14.3,12.3
Карачаево-Черкесская Республика,2021,225.646551724138,20473,10.1,16.3619745845552,207.1,1.2973,77.27,57.3,9.0,9.1,10.8,12.1,9.6
Кемеровская область,2021,257.373271889401,28048,4.6,6.54698695382067,322.3,6.3244,71.43,55.2,14.4,14.2,16.2,18.2,14.8
Кировская область,2021,296.923076923077,26649,4.3,10.4788606060606,289.1,8.2712,74.64,52.5,14.9,14.3,16.8,19.5,15.5
Костромская область,2021,284.541062801932,28560,3.9,11.4910924531944,305.4,7.7205,73.59,53.5,14.9,14.7,16.7,20.2,15.9
Краснодарский край,2021,257.067510548523,43217,4.6,11.9511344976862,313.0,5.5788,75.16,55.4,12.0,12.3,14.5,16.9,13.9
Красноярский край,2021,228.711828711829,36090,3.2,9.24002419149478,305.6,6.0911,72.69,57.2,12.4,12.2,14.3,16.5,13.5
Курганская область,2021,296.029776674938,23747,7.3,7.67797757797758,386.1,6.0374,72.76,51.5,15.5,15.2,17.4,20.4,15.7
Курская область,2021,290.489381348107,32715,3.5,13.3651307974918,326.0,5.1077,73.9,54.4,15.4,15.0,17.7,21.4,16.4
Ленинградская область,2021,265.533472803347,36847,3.2,11.3943860154637,320.3,9.187,74.84,57.6,12.9,12.5,14.9,16.9,13.6
Липецкая область,2021,287.342908438061,35124,3.9,14.1165215989684,382.2,5.6415,74.39,54.5,14.5,14.3,17.8,21.1,15.5
Магаданская область,2021,219.70802919708,80979,4.2,7.27440592980161,380.9,10.8777,71.33,59.8,11.4,11.6,12.5,15.0,12.4
Московская область,2021,238.730853391685,53793,3.0,16.1341872277524,359.5,10.0097,75.17,57.7,12.2,12.0,14.5,16.3,13.0
Мурманская область,2021,223.586206896552,51183,4.5,9.20401422134028,363.0,9.896,73.34,59.3,11.3,11.4,13.5,15.9,12.1
Нижегородская область,2021,279.484732824428,37524,3.8,12.9487423813203,405.3,7.135,73.72,55.1,15.0,14.6,17.3,19.9,15.3
